     file  region                                  year im_ratio ed_ratio
1342 es97h [5]East                                 1997   NA       NA    
1343 es97h [6]South                                1997   NA       NA    
1344 es97h [7]Canary Islands                       1997    0.568    0.661
1345 es97h <NA>                                    1997    0.623    0.764
1346 es98h [1]North-East                           1998   NA       NA    
1347 es98h [2]North-West                           1998   NA       NA    
1348 es98h [3]Madrid                               1998   NA       NA    
1349 es98h [4]Central                              1998   NA       NA    
1350 es98h [5]East                                 1998   NA       NA    
1351 es98h [6]South                                1998   NA       NA    
1352 es98h [7]Canary Islands                       1998   NA       NA    
1353 es98h <NA>                                    1998    0.565    0.657
1354 es99h [1]North-East                           1999   NA       NA    
1355 es99h [2]North-West                           1999    1.05     0.665
1356 es99h [3]Madrid                               1999   NA       NA    
1357 es99h [4]Central                              1999   NA       NA    
1358 es99h [5]East                                 1999   NA       NA    
1359 es99h [6]South                                1999   NA       NA    
1360 es99h [7]Canary Islands                       1999    0.512    0.668
1361 es99h <NA>                                    1999   NA       NA    
1362 fr00h Alsace                                  2000    1.19     0.668
1363 fr00h Aquitaine                               2000    1.07     0.666
1364 fr00h Auvergne                                2000    1.14     0.604
1365 fr00h Basse-Normandie                         2000    0.986    0.641
1366 fr00h Bourgogne                               2000    1.06     0.606
1367 fr00h Bretagne                                2000    0.935    0.633
1368 fr00h Centre                                  2000    1.17     0.662
1369 fr00h Champagne-Ardenne                       2000    1.18     0.643
1370 fr00h Franche-Comté                           2000    1.16     0.708
1371 fr00h Haute-Normandie                         2000    1.12     0.565
1372 fr00h Ile-de-France                           2000    1.32     0.655
1373 fr00h Languedoc-Roussillon                    2000    1.11     0.602
1374 fr00h Limousin                                2000    1.14     0.611
1375 fr00h Lorraine                                2000    1.09     0.636
1376 fr00h Midi-Pyrénées                           2000    1.18     0.665
1377 fr00h Nord-Pas de Calais                      2000    1.07     0.570
1378 fr00h Pays de la Loire                        2000    1.09     0.629
1379 fr00h Picardie                                2000    1.19     0.657
1380 fr00h Poitou-Charentes                        2000    0.926    0.628
1381 fr00h Provence-Côte d'Azur-Corse              2000    1.10     0.644
1382 fr00h Rhône-Alpes                             2000    1.19     0.636
1383 fr01h Alsace                                  2001    1.20     0.637
1384 fr01h Aquitaine                               2001    1.11     0.660
1385 fr01h Auvergne                                2001    1.10     0.595
1386 fr01h Basse-Normandie                         2001    0.939    0.650
1387 fr01h Bourgogne                               2001    1.06     0.620
1388 fr01h Bretagne                                2001    1.01     0.626
1389 fr01h Centre                                  2001    1.20     0.664
1390 fr01h Champagne-Ardenne                       2001    1.27     0.621
1391 fr01h Franche-Comté                           2001    1.14     0.655
1392 fr01h Haute-Normandie                         2001    1.09     0.564
1393 fr01h Ile-de-France                           2001    1.29     0.655
1394 fr01h Languedoc-Roussillon                    2001    1.15     0.616
1395 fr01h Limousin                                2001    1.31     0.612
1396 fr01h Lorraine                                2001    1.14     0.679
1397 fr01h Midi-Pyrénées                           2001    1.12     0.681
1398 fr01h Nord-Pas de Calais                      2001    1.11     0.569
1399 fr01h Pays de la Loire                        2001    1.08     0.628
1400 fr01h Picardie                                2001    1.09     0.651
1401 fr01h Poitou-Charentes                        2001    0.917    0.632
1402 fr01h Provence-Côte d'Azur-Corse              2001    1.11     0.654
1403 fr01h Rhône-Alpes                             2001    1.17     0.658
1404 fr02h Alsace                                  2002    1.15     0.654
1405 fr02h Aquitaine                               2002    1.06     0.636
1406 fr02h Auvergne                                2002    0.952    0.595
1407 fr02h Basse-Normandie                         2002    0.939    0.624
1408 fr02h Bourgogne                               2002    0.936    0.634
1409 fr02h Bretagne                                2002    0.848    0.611
1410 fr02h Centre                                  2002    0.962    0.627
1411 fr02h Champagne-Ardenne                       2002    1.19     0.584
1412 fr02h Corse                                   2002    1.25     0.438
1413 fr02h Franche-Comté                           2002    1.14     0.639
1414 fr02h Haute-Normandie                         2002    1.18     0.664
1415 fr02h Ile-de-France                           2002    1.25     0.652
1416 fr02h Languedoc-Roussillon                    2002    1.11     0.571
1417 fr02h Limousin                                2002    1.01     0.582
1418 fr02h Lorraine                                2002    1.04     0.626
1419 fr02h Midi-Pyrénées                           2002    1.08     0.662
1420 fr02h Nord-Pas de Calais                      2002    1.11     0.595
1421 fr02h Pays de la Loire                        2002    1.09     0.613
1422 fr02h Picardie                                2002    1.17     0.655
1423 fr02h Poitou-Charentes                        2002    1.02     0.595
1424 fr02h Provence-Alpes-Côte-d'Azur              2002    1.13     0.599
1425 fr02h Rhône-Alpes                             2002    1.15     0.643
1426 fr03h Alsace                                  2003    1.23     0.668
1427 fr03h Aquitaine                               2003    1.03     0.620
1428 fr03h Auvergne                                2003    1.03     0.592
1429 fr03h Basse-Normandie                         2003    1.02     0.659
1430 fr03h Bourgogne                               2003    1.08     0.569
1431 fr03h Bretagne                                2003    0.950    0.633
1432 fr03h Centre                                  2003    1.03     0.640
1433 fr03h Champagne-Ardenne                       2003    1.19     0.625
1434 fr03h Corse                                   2003    1.49     0.617
1435 fr03h Franche-Comté                           2003    1.22     0.637
1436 fr03h Haute-Normandie                         2003    1.04     0.656
1437 fr03h Ile-de-France                           2003    1.27     0.664
1438 fr03h Languedoc-Roussillon                    2003    1.09     0.644
1439 fr03h Limousin                                2003    1.21     0.562
1440 fr03h Lorraine                                2003    0.977    0.679
1441 fr03h Midi-Pyrénées                           2003    1.14     0.700
1442 fr03h Nord-Pas de Calais                      2003    1.07     0.598
1443 fr03h Pays de la Loire                        2003    1.00     0.638
1444 fr03h Picardie                                2003    1.12     0.580
1445 fr03h Poitou-Charentes                        2003    0.961    0.596
1446 fr03h Provence-Alpes-Côte-d'Azur              2003    1.09     0.614
1447 fr03h Rhône-Alpes                             2003    1.16     0.630
1448 fr04h Alsace                                  2004    1.26     0.695
1449 fr04h Aquitaine                               2004    0.998    0.601
1450 fr04h Auvergne                                2004    0.993    0.614
1451 fr04h Basse-Normandie                         2004    1.16     0.658
1452 fr04h Bourgogne                               2004    1.06     0.615
1453 fr04h Bretagne                                2004    1.09     0.629
1454 fr04h Centre                                  2004    1.09     0.660
1455 fr04h Champagne-Ardenne                       2004    1.25     0.628
1456 fr04h Corse                                   2004    1.52     0.541
1457 fr04h Franche-Comté                           2004    1.31     0.700
1458 fr04h Haute-Normandie                         2004    0.993    0.677
1459 fr04h Ile-de-France                           2004    1.24     0.661
1460 fr04h Languedoc-Roussillon                    2004    1.12     0.600
1461 fr04h Limousin                                2004    1.19     0.597
1462 fr04h Lorraine                                2004    1.02     0.647
1463 fr04h Midi-Pyrénées                           2004    1.04     0.680
1464 fr04h Nord-Pas de Calais                      2004    1.11     0.592
1465 fr04h Pays de la Loire                        2004    1.05     0.597
1466 fr04h Picardie                                2004    1.14     0.617
1467 fr04h Poitou-Charentes                        2004    1.06     0.635
1468 fr04h Provence-Alpes-Côte-d'Azur              2004    1.07     0.634
1469 fr04h Rhône-Alpes                             2004    1.13     0.616
1470 fr05h Alsace                                  2005    1.15     0.664
1471 fr05h Aquitaine                               2005    1.05     0.637
1472 fr05h Auvergne                                2005    1.09     0.656
1473 fr05h Basse-Normandie                         2005    1.10     0.641
1474 fr05h Bourgogne                               2005    1.07     0.614
1475 fr05h Bretagne                                2005    1.08     0.667
1476 fr05h Centre                                  2005    1.23     0.661
1477 fr05h Champagne-Ardenne                       2005    1.30     0.598
1478 fr05h Corse                                   2005    1.32     0.491
1479 fr05h Franche-Comté                           2005    1.11     0.678
1480 fr05h Haute-Normandie                         2005    1.08     0.639
1481 fr05h Ile-de-France                           2005    1.34     0.657
1482 fr05h Languedoc-Roussillon                    2005    1.09     0.592
1483 fr05h Limousin                                2005    1.19     0.634
1484 fr05h Lorraine                                2005    1.06     0.542
1485 fr05h Midi-Pyrénées                           2005    1.04     0.701
1486 fr05h Nord-Pas de Calais                      2005    1.05     0.562
1487 fr05h Pays de la Loire                        2005    1.16     0.616
1488 fr05h Picardie                                2005    1.06     0.620
1489 fr05h Poitou-Charentes                        2005    1.02     0.638
1490 fr05h Provence-Alpes-Côte-d'Azur              2005    1.11     0.663
1491 fr05h Rhône-Alpes                             2005    1.17     0.653
1492 fr06h Alsace                                  2006    1.20     0.660
1493 fr06h Aquitaine                               2006    1.10     0.664
1494 fr06h Auvergne                                2006    1.01     0.657
1495 fr06h Basse-Normandie                         2006    0.887    0.648
1496 fr06h Bourgogne                               2006    1.11     0.603
1497 fr06h Bretagne                                2006    1.05     0.721
1498 fr06h Centre                                  2006    1.27     0.676
1499 fr06h Champagne-Ardenne                       2006    1.34     0.651
1500 fr06h Corse                                   2006    1.20     0.614
1501 fr06h Franche-Comté                           2006    1.22     0.670
1502 fr06h Haute-Normandie                         2006    1.12     0.724
1503 fr06h Ile-de-France                           2006    1.32     0.644
1504 fr06h Languedoc-Roussillon                    2006    1.23     0.579
1505 fr06h Limousin                                2006    1.27     0.620
1506 fr06h Lorraine                                2006    1.18     0.618
1507 fr06h Midi-Pyrénées                           2006    1.14     0.664
1508 fr06h Nord-Pas de Calais                      2006    1.05     0.583
1509 fr06h Pays de la Loire                        2006    1.23     0.632
1510 fr06h Picardie                                2006    0.976    0.617
1511 fr06h Poitou-Charentes                        2006    1.07     0.598
1512 fr06h Provence-Alpes-Côte-d'Azur              2006    1.10     0.647
1513 fr06h Rhône-Alpes                             2006    1.20     0.664
1514 fr07h Alsace                                  2007    1.22     0.698
1515 fr07h Aquitaine                               2007    1.10     0.668
1516 fr07h Auvergne                                2007    1.09     0.644
1517 fr07h Basse-Normandie                         2007    0.714    0.609
1518 fr07h Bourgogne                               2007    1.19     0.641
1519 fr07h Bretagne                                2007    1.02     0.713
1520 fr07h Centre                                  2007    1.16     0.626
1521 fr07h Champagne-Ardenne                       2007    1.33     0.620
1522 fr07h Corse                                   2007    1.25     0.550
1523 fr07h Franche-Comté                           2007    1.25     0.664
1524 fr07h Haute-Normandie                         2007    1.02     0.649
1525 fr07h Ile-de-France                           2007    1.34     0.672
1526 fr07h Languedoc-Roussillon                    2007    1.07     0.614
1527 fr07h Limousin                                2007    1.40     0.573
1528 fr07h Lorraine                                2007    1.18     0.655
1529 fr07h Midi-Pyrénées                           2007    1.17     0.609
1530 fr07h Nord-Pas de Calais                      2007    1.15     0.612
1531 fr07h Pays de la Loire                        2007    1.22     0.640
1532 fr07h Picardie                                2007    1.07     0.621
1533 fr07h Poitou-Charentes                        2007    1.16     0.640
1534 fr07h Provence-Alpes-Côte-d'Azur              2007    1.13     0.584
1535 fr07h Rhône-Alpes                             2007    1.17     0.673
1536 fr08h Alsace                                  2008    1.32     0.641
1537 fr08h Aquitaine                               2008    1.04     0.594
1538 fr08h Auvergne                                2008    1.07     0.632
1539 fr08h Basse-Normandie                         2008    1.21     0.637
1540 fr08h Bourgogne                               2008    1.08     0.608
1541 fr08h Bretagne                                2008    1.12     0.623
1542 fr08h Centre                                  2008    1.23     0.612
1543 fr08h Champagne-Ardenne                       2008    1.20     0.670
1544 fr08h Corse                                   2008    1.02     0.838
1545 fr08h Franche-Comté                           2008    1.20     0.608
1546 fr08h Haute-Normandie                         2008    1.08     0.700
1547 fr08h Ile-de-France                           2008    1.30     0.671
1548 fr08h Languedoc-Roussillon                    2008    1.23     0.639
1549 fr08h Limousin                                2008    1.36     0.730
1550 fr08h Lorraine                                2008    1.06     0.625
1551 fr08h Midi-Pyrénées                           2008    1.15     0.704
1552 fr08h Nord-Pas de Calais                      2008    1.12     0.570
1553 fr08h Pays de la Loire                        2008    1.08     0.586
1554 fr08h Picardie                                2008    1.05     0.616
1555 fr08h Poitou-Charentes                        2008    1.24     0.613
1556 fr08h Provence-Alpes-Côte-d'Azur              2008    1.12     0.612
1557 fr08h Rhône-Alpes                             2008    1.09     0.674
1558 fr09h Alsace                                  2009    1.23     0.648
1559 fr09h Aquitaine                               2009    1.08     0.605
1560 fr09h Auvergne                                2009    1.03     0.656
1561 fr09h Basse-Normandie                         2009    1.20     0.617
1562 fr09h Bourgogne                               2009    1.05     0.623
1563 fr09h Bretagne                                2009    1.21     0.622
1564 fr09h Centre                                  2009    1.08     0.597
1565 fr09h Champagne-Ardenne                       2009    1.23     0.686
1566 fr09h Corse                                   2009    1.13     0.514
1567 fr09h Franche-Comté                           2009    1.16     0.610
1568 fr09h Haute-Normandie                         2009    1.05     0.640
1569 fr09h Ile-de-France                           2009    1.32     0.665
1570 fr09h Languedoc-Roussillon                    2009    1.13     0.641
1571 fr09h Limousin                                2009    1.30     0.681
1572 fr09h Lorraine                                2009    1.15     0.612
1573 fr09h Midi-Pyrénées                           2009    1.10     0.660
1574 fr09h Nord-Pas de Calais                      2009    1.16     0.558
1575 fr09h Pays de la Loire                        2009    1.12     0.557
1576 fr09h Picardie                                2009    1.09     0.654
1577 fr09h Poitou-Charentes                        2009    1.19     0.605
1578 fr09h Provence-Alpes-Côte-d'Azur              2009    1.14     0.672
1579 fr09h Rhône-Alpes                             2009    1.10     0.657
1580 fr10h Alsace                                  2010    1.28     0.664
1581 fr10h Aquitaine                               2010    1.14     0.636
1582 fr10h Auvergne                                2010    1.14     0.573
1583 fr10h Basse-Normandie                         2010    1.35     0.591
1584 fr10h Bourgogne                               2010    1.21     0.635
1585 fr10h Bretagne                                2010    1.10     0.628
1586 fr10h Centre                                  2010    1.16     0.670
1587 fr10h Champagne-Ardenne                       2010    1.26     0.627
1588 fr10h Corse                                   2010    1.14     0.460
1589 fr10h Franche-Comté                           2010    1.30     0.586
1590 fr10h Haute-Normandie                         2010    1.24     0.621
1591 fr10h Ile-de-France                           2010    1.33     0.635
1592 fr10h Languedoc-Roussillon                    2010    1.17     0.593
1593 fr10h Limousin                                2010    1.16     0.614
1594 fr10h Lorraine                                2010    1.06     0.599
1595 fr10h Midi-Pyrénées                           2010    1.16     0.662
1596 fr10h Nord-Pas de Calais                      2010    1.05     0.561
1597 fr10h Pays de la Loire                        2010    1.23     0.603
1598 fr10h Picardie                                2010    1.09     0.597
1599 fr10h Poitou-Charentes                        2010    1.28     0.609
1600 fr10h Provence-Alpes-Côte-d'Azur              2010    1.10     0.605
1601 fr10h Rhône-Alpes                             2010    1.18     0.623
1602 fr11h Alsace                                  2011    1.24     0.629
1603 fr11h Aquitaine                               2011    1.18     0.643
1604 fr11h Auvergne                                2011    1.12     0.629
1605 fr11h Basse-Normandie                         2011    1.18     0.595
1606 fr11h Bourgogne                               2011    1.08     0.681
1607 fr11h Bretagne                                2011    1.08     0.615
1608 fr11h Centre                                  2011    1.27     0.629
1609 fr11h Champagne-Ardenne                       2011    1.29     0.586
1610 fr11h Corse                                   2011    1.21     0.714
1611 fr11h Franche-Comté                           2011    1.18     0.614
1612 fr11h Haute-Normandie                         2011    1.50     0.576
1613 fr11h Ile-de-France                           2011    1.35     0.618
1614 fr11h Languedoc-Roussillon                    2011    1.18     0.589
1615 fr11h Limousin                                2011    1.10     0.663
1616 fr11h Lorraine                                2011    1.24     0.583
1617 fr11h Midi-Pyrénées                           2011    1.25     0.597
1618 fr11h Nord-Pas de Calais                      2011    1.15     0.584
1619 fr11h Pays de la Loire                        2011    1.10     0.597
1620 fr11h Picardie                                2011    1.15     0.614
1621 fr11h Poitou-Charentes                        2011    1.12     0.624
1622 fr11h Provence-Alpes-Côte-d'Azur              2011    1.12     0.628
1623 fr11h Rhône-Alpes                             2011    1.11     0.636
1624 fr12h Alsace                                  2012    1.31     0.658
1625 fr12h Aquitaine                               2012    1.14     0.610
1626 fr12h Auvergne                                2012    1.15     0.626
1627 fr12h Basse-Normandie                         2012    1.09     0.598
1628 fr12h Bourgogne                               2012    1.18     0.630
1629 fr12h Bretagne                                2012    0.910    0.585
1630 fr12h Centre                                  2012    1.23     0.639
1631 fr12h Champagne-Ardenne                       2012    1.38     0.578
1632 fr12h Corse                                   2012    1.09     0.753
1633 fr12h Franche-Comté                           2012    1.22     0.617
1634 fr12h Haute-Normandie                         2012    1.33     0.598
1635 fr12h Ile-de-France                           2012    1.33     0.629
1636 fr12h Languedoc-Roussillon                    2012    1.20     0.657
1637 fr12h Limousin                                2012    0.995    0.583
1638 fr12h Lorraine                                2012    1.13     0.532
1639 fr12h Midi-Pyrénées                           2012    1.07     0.635
1640 fr12h Nord-Pas de Calais                      2012    1.08     0.585
1641 fr12h Pays de la Loire                        2012    1.13     0.607
1642 fr12h Picardie                                2012    1.11     0.524
1643 fr12h Poitou-Charentes                        2012    1.03     0.694
1644 fr12h Provence-Alpes-Côte-d'Azur              2012    1.17     0.605
1645 fr12h Rhône-Alpes                             2012    1.08     0.619
1646 fr13h Alsace                                  2013    1.25     0.684
1647 fr13h Aquitaine                               2013    1.08     0.651
1648 fr13h Auvergne                                2013    1.17     0.610
1649 fr13h Basse-Normandie                         2013    1.08     0.637
1650 fr13h Bourgogne                               2013    1.10     0.664
1651 fr13h Bretagne                                2013    1.05     0.645
1652 fr13h Centre                                  2013    1.23     0.581
1653 fr13h Champagne-Ardenne                       2013    1.36     0.531
1654 fr13h Corse                                   2013    1.10     0.689
1655 fr13h Franche-Comté                           2013    1.21     0.603
1656 fr13h Haute-Normandie                         2013    1.15     0.575
1657 fr13h Ile-de-France                           2013    1.28     0.685
1658 fr13h Languedoc-Roussillon                    2013    1.15     0.614
1659 fr13h Limousin                                2013    1.34     0.638
1660 fr13h Lorraine                                2013    1.14     0.574
1661 fr13h Midi-Pyrénées                           2013    1.08     0.645
1662 fr13h Nord-Pas de Calais                      2013    1.16     0.565
1663 fr13h Pays de la Loire                        2013    1.20     0.603
1664 fr13h Picardie                                2013    1.10     0.583
1665 fr13h Poitou-Charentes                        2013    0.974    0.673
1666 fr13h Provence-Alpes-Côte-d'Azur              2013    1.12     0.602
1667 fr13h Rhône-Alpes                             2013    1.12     0.650
1668 fr14h Alsace                                  2014    1.21     0.680
1669 fr14h Aquitaine                               2014    1.14     0.661
1670 fr14h Auvergne                                2014    1.10     0.639
1671 fr14h Basse-Normandie                         2014    1.21     0.575
1672 fr14h Bourgogne                               2014    1.06     0.638
1673 fr14h Bretagne                                2014    1.08     0.693
1674 fr14h Centre                                  2014    1.15     0.588
1675 fr14h Champagne-Ardenne                       2014    1.17     0.609
1676 fr14h Corse                                   2014    0.958    0.538
1677 fr14h Franche-Comté                           2014    1.13     0.620
1678 fr14h Haute-Normandie                         2014    1.25     0.643
1679 fr14h Ile-de-France                           2014    1.31     0.649
1680 fr14h Languedoc-Roussillon                    2014    1.12     0.632
1681 fr14h Limousin                                2014    1.20     0.627
1682 fr14h Lorraine                                2014    1.17     0.612
1683 fr14h Midi-Pyrénées                           2014    1.09     0.610
1684 fr14h Nord-Pas de Calais                      2014    1.12     0.575
1685 fr14h Pays de la Loire                        2014    1.15     0.599
1686 fr14h Picardie                                2014    1.23     0.590
1687 fr14h Poitou-Charentes                        2014    1.17     0.598
1688 fr14h Provence-Alpes-Côte-d'Azur              2014    1.16     0.618
1689 fr14h Rhône-Alpes                             2014    1.15     0.619
1690 fr15h Alsace                                  2015    1.12     0.614
1691 fr15h Aquitaine                               2015    1.13     0.625
1692 fr15h Auvergne                                2015    0.904    0.631
1693 fr15h Basse-Normandie                         2015    1.10     0.606
1694 fr15h Bourgogne                               2015    1.12     0.696
1695 fr15h Bretagne                                2015    1.18     0.674
1696 fr15h Centre                                  2015    1.18     0.585
1697 fr15h Champagne-Ardenne                       2015    1.28     0.632
1698 fr15h Corse                                   2015    0.968    0.519
1699 fr15h Franche-Comté                           2015    1.20     0.646
1700 fr15h Haute-Normandie                         2015    1.21     0.622
1701 fr15h Ile-de-France                           2015    1.32     0.653
1702 fr15h Languedoc-Roussillon                    2015    1.15     0.644
1703 fr15h Limousin                                2015    1.37     0.638
1704 fr15h Lorraine                                2015    1.33     0.614
1705 fr15h Midi-Pyrénées                           2015    1.17     0.601
1706 fr15h Nord-Pas de Calais                      2015    1.15     0.594
1707 fr15h Pays de la Loire                        2015    1.19     0.627
1708 fr15h Picardie                                2015    1.24     0.592
1709 fr15h Poitou-Charentes                        2015    1.28     0.637
1710 fr15h Provence-Alpes-Côte-d'Azur              2015    1.18     0.606
1711 fr15h Rhône-Alpes                             2015    1.16     0.620
1712 fr16h Alsace                                  2016    1.18     0.653
1713 fr16h Aquitaine                               2016    1.13     0.666
1714 fr16h Auvergne                                2016    1.00     0.623
1715 fr16h Basse-Normandie                         2016    0.993    0.554
1716 fr16h Bourgogne                               2016    1.25     0.635
1717 fr16h Bretagne                                2016    1.18     0.675
1718 fr16h Centre                                  2016    1.14     0.619
1719 fr16h Champagne-Ardenne                       2016    1.20     0.649
1720 fr16h Corse                                   2016    1.28     0.647
1721 fr16h Franche-Comté                           2016    1.06     0.645
1722 fr16h Haute-Normandie                         2016    1.33     0.564
1723 fr16h Ile-de-France                           2016    1.33     0.639
1724 fr16h Languedoc-Roussillon                    2016    1.11     0.631
1725 fr16h Limousin                                2016    1.30     0.620
1726 fr16h Lorraine                                2016    1.33     0.608
1727 fr16h Midi-Pyrénées                           2016    1.09     0.661
1728 fr16h Nord-Pas de Calais                      2016    1.13     0.578
1729 fr16h Pays de la Loire                        2016    1.17     0.669
1730 fr16h Picardie                                2016    1.13     0.600
1731 fr16h Poitou-Charentes                        2016    1.31     0.621
1732 fr16h Provence-Alpes-Côte-d'Azur              2016    1.19     0.652
1733 fr16h Rhône-Alpes                             2016    1.13     0.654
1734 fr17h Alsace                                  2017    1.20     0.673
1735 fr17h Aquitaine                               2017    1.12     0.636
1736 fr17h Auvergne                                2017    1.02     0.652
1737 fr17h Basse-Normandie                         2017    1.21     0.607
1738 fr17h Bourgogne                               2017    1.14     0.598
1739 fr17h Bretagne                                2017    1.07     0.647
1740 fr17h Centre                                  2017    1.19     0.628
1741 fr17h Champagne-Ardenne                       2017    1.22     0.622
1742 fr17h Corse                                   2017    0.962    0.652
1743 fr17h Franche-Comté                           2017    1.14     0.653
1744 fr17h Haute-Normandie                         2017    1.35     0.603
1745 fr17h Ile-de-France                           2017    1.32     0.625
1746 fr17h Languedoc-Roussillon                    2017    1.19     0.651
1747 fr17h Limousin                                2017    1.23     0.616
1748 fr17h Lorraine                                2017    1.23     0.546
1749 fr17h Midi-Pyrénées                           2017    1.15     0.681
1750 fr17h Nord-Pas de Calais                      2017    1.15     0.597
1751 fr17h Pays de la Loire                        2017    1.20     0.637
1752 fr17h Picardie                                2017    1.06     0.631
1753 fr17h Poitou-Charentes                        2017    1.18     0.638
1754 fr17h Provence-Alpes-Côte-d'Azur              2017    1.25     0.638
1755 fr17h Rhône-Alpes                             2017    1.18     0.681
1756 fr18h Alsace                                  2018    1.18     0.642
1757 fr18h Aquitaine                               2018    1.16     0.608
1758 fr18h Auvergne                                2018    1.14     0.632
1759 fr18h Basse-Normandie                         2018    1.24     0.651
1760 fr18h Bourgogne                               2018    1.08     0.615
1761 fr18h Bretagne                                2018    1.13     0.648
1762 fr18h Centre                                  2018    1.29     0.655
1763 fr18h Champagne-Ardenne                       2018    1.27     0.594
1764 fr18h Corse                                   2018    1.24     0.658
1765 fr18h Franche-Comté                           2018    1.16     0.640
1766 fr18h Haute-Normandie                         2018    1.29     0.600
1767 fr18h Ile-de-France                           2018    1.30     0.653
1768 fr18h Languedoc-Roussillon                    2018    1.23     0.602
1769 fr18h Limousin                                2018    1.19     0.622
1770 fr18h Lorraine                                2018    1.17     0.627
1771 fr18h Midi-Pyrénées                           2018    1.05     0.633
1772 fr18h Nord-Pas de Calais                      2018    1.16     0.570
1773 fr18h Pays de la Loire                        2018    1.24     0.611
1774 fr18h Picardie                                2018    1.15     0.583
1775 fr18h Poitou-Charentes                        2018    1.07     0.611
1776 fr18h Provence-Alpes-Côte-d'Azur              2018    1.21     0.619
1777 fr18h Rhône-Alpes                             2018    1.16     0.624
1778 fr84h <NA>                                    1984   NA       NA    
1779 fr90h <NA>                                    1990   NA       NA    
1780 fr96h Alsace                                  1996    1.23     0.620
1781 fr96h Aquitaine                               1996    1.02     0.643
1782 fr96h Auvergne                                1996    0.922    0.572
1783 fr96h Basse-Normandie                         1996    0.769    0.646
1784 fr96h Bourgogne                               1996    1.15     0.659
1785 fr96h Bretagne                                1996    1.11     0.641
1786 fr96h Centre                                  1996    1.20     0.611
1787 fr96h Champagne-Ardenne                       1996    1.19     0.593
1788 fr96h Franche-Comté                           1996    1.22     0.714
1789 fr96h Haute-Normandie                         1996    1.26     0.615
1790 fr96h Ile-de-France                           1996    1.36     0.685
1791 fr96h Languedoc-Roussillon                    1996    1.18     0.626
1792 fr96h Limousin                                1996    1.32     0.597
1793 fr96h Lorraine                                1996    1.16     0.614
1794 fr96h Midi-Pyrénées                           1996    1.05     0.634
1795 fr96h Nord-Pas de Calais                      1996    1.18     0.648
1796 fr96h Pays de la Loire                        1996    1.05     0.672
1797 fr96h Picardie                                1996    1.18     0.649
1798 fr96h Poitou-Charentes                        1996    0.888    0.590
1799 fr96h Provence-Côte d'Azur-Corse              1996    1.09     0.647
1800 fr96h Rhône-Alpes                             1996    1.18     0.646
1801 fr97h Alsace                                  1997    1.17     0.655
1802 fr97h Aquitaine                               1997    1.09     0.670
1803 fr97h Auvergne                                1997    0.962    0.605
1804 fr97h Basse-Normandie                         1997    0.808    0.640
1805 fr97h Bourgogne                               1997    1.10     0.662
1806 fr97h Bretagne                                1997    1.04     0.632
1807 fr97h Centre                                  1997    1.26     0.629
1808 fr97h Champagne-Ardenne                       1997    1.15     0.612
1809 fr97h Franche-Comté                           1997    1.16     0.697
1810 fr97h Haute-Normandie                         1997    1.22     0.611
1811 fr97h Ile-de-France                           1997    1.33     0.680
1812 fr97h Languedoc-Roussillon                    1997    1.25     0.640
1813 fr97h Limousin                                1997    1.29     0.631
1814 fr97h Lorraine                                1997    1.18     0.628
1815 fr97h Midi-Pyrénées                           1997    1.13     0.650
1816 fr97h Nord-Pas de Calais                      1997    1.06     0.572
1817 fr97h Pays de la Loire                        1997    1.08     0.621
1818 fr97h Picardie                                1997    1.20     0.641
1819 fr97h Poitou-Charentes                        1997    0.789    0.612
1820 fr97h Provence-Côte d'Azur-Corse              1997    1.10     0.668
1821 fr97h Rhône-Alpes                             1997    1.21     0.652
1822 fr98h Alsace                                  1998    1.15     0.744
1823 fr98h Aquitaine                               1998    1.12     0.606
1824 fr98h Auvergne                                1998    1.07     0.603
1825 fr98h Basse-Normandie                         1998    0.777    0.618
1826 fr98h Bourgogne                               1998    1.18     0.652
1827 fr98h Bretagne                                1998    1.01     0.630
1828 fr98h Centre                                  1998    1.14     0.668
1829 fr98h Champagne-Ardenne                       1998    1.10     0.651
1830 fr98h Franche-Comté                           1998    1.10     0.676
1831 fr98h Haute-Normandie                         1998    1.12     0.611
1832 fr98h Ile-de-France                           1998    1.28     0.677
1833 fr98h Languedoc-Roussillon                    1998    1.11     0.622
1834 fr98h Limousin                                1998    1.09     0.634
1835 fr98h Lorraine                                1998    1.15     0.639
1836 fr98h Midi-Pyrénées                           1998    1.17     0.656
1837 fr98h Nord-Pas de Calais                      1998    1.12     0.579
1838 fr98h Pays de la Loire                        1998    1.00     0.656
1839 fr98h Picardie                                1998    1.20     0.618
1840 fr98h Poitou-Charentes                        1998    0.989    0.641
1841 fr98h Provence-Côte d'Azur-Corse              1998    1.10     0.657
1842 fr98h Rhône-Alpes                             1998    1.17     0.651
1843 fr99h Alsace                                  1999    1.24     0.678
1844 fr99h Aquitaine                               1999    1.11     0.629
1845 fr99h Auvergne                                1999    1.12     0.604
1846 fr99h Basse-Normandie                         1999    0.805    0.608
1847 fr99h Bourgogne                               1999    1.15     0.634
1848 fr99h Bretagne                                1999    1.06     0.662
1849 fr99h Centre                                  1999    1.20     0.620
1850 fr99h Champagne-Ardenne                       1999    1.17     0.649
1851 fr99h Franche-Comté                           1999    1.12     0.693
1852 fr99h Haute-Normandie                         1999    1.09     0.612
1853 fr99h Ile-de-France                           1999    1.25     0.667
